ID,AverageFiberLength,OrientationX,OrientationY,OrientationZ,AverageConnectivityWITHBoundary,AverageConnectivityWITHOUTBoundary,StrenghX,StrengthY,StrengthZ,ToughnessX,ToughnessY,ToughnessZ,Density,Sample1,Sample2,Ratio1,Ratio2,qSimx,qSimy,qSimz,AverageStrength,AverageToughness,dir
30,0.003331119,0.41636334,0.286140529,0.297496131,2.873174481,3.080040527,25.34059107,13.50851544,14.6782236,47.45021756,35.24769027,37.17292106,0.000304134,1,2,0.3,1,88,89,90,17.84244337,39.95694297,./WebNet_Mar6/All_Data/s1s2_Ratio_30_100
31,0.002942602,0.37891491,0.307648011,0.31343708,2.735812133,3.101092896,27.21982325,19.47637281,20.63516561,29.74736631,40.22588869,41.7898845,0.000319445,1,2,0.4,0.1,91,92,93,22.44378722,37.25437983,./WebNet_Mar6/All_Data/s1s2_Ratio_40_10
32,0.003013937,0.389790186,0.308140711,0.302069103,2.74457429,3.095890411,26.03731554,19.69196549,18.69467128,35.78474433,45.67828566,37.13774712,0.000307886,1,2,0.4,0.2,94,95,96,21.47465077,39.53359237,./WebNet_Mar6/All_Data/s1s2_Ratio_40_20
33,0.002999393,0.390207426,0.300530058,0.309262515,2.77643909,3.1005386,27.51095504,20.67907486,14.86394468,48.33304681,48.54530346,39.0466434,0.000315789,1,2,0.4,0.3,97,98,99,21.01799153,45.30833122,./WebNet_Mar6/All_Data/s1s2_Ratio_40_30
34,0.00310172,0.402949671,0.293306725,0.303743604,2.805721097,3.094867807,29.12908612,17.94484825,13.33494826,47.77931481,38.51140625,37.85172967,0.000314659,1,2,0.4,0.4,100,101,102,20.13629421,41.38081691,./WebNet_Mar6/All_Data/s1s2_Ratio_40_40
35,0.003109302,0.409753353,0.290159571,0.300087075,2.824634656,3.083221477,26.34743789,17.66386557,15.08109045,51.03150833,42.10249121,42.85645942,0.000317298,1,2,0.4,0.5,103,104,105,19.69746463,45.33015299,./WebNet_Mar6/All_Data/s1s2_Ratio_40_50
36,0.00311441,0.407542895,0.287069475,0.305387629,2.847706422,3.085580305,25.83674921,16.3200127,15.98296359,51.95545677,40.06451818,40.07709339,0.000324079,1,2,0.4,0.6,106,107,108,19.3799085,44.03235612,./WebNet_Mar6/All_Data/s1s2_Ratio_40_60
37,0.003189799,0.414590372,0.284704474,0.300705154,2.864538395,3.083516484,28.35319573,16.68868271,15.98528335,49.14430161,43.85650863,40.14826272,0.000319537,1,2,0.4,0.7,109,110,111,20.34238726,44.38302432,./WebNet_Mar6/All_Data/s1s2_Ratio_40_70
38,0.0032614,0.419374308,0.280396123,0.300229568,2.874388254,3.08255934,25.57078266,13.89099848,15.19096572,46.38863617,39.03468848,40.07165563,0.000315273,1,2,0.4,0.8,112,113,114,18.21758229,41.83166009,./WebNet_Mar6/All_Data/s1s2_Ratio_40_80
39,0.003315237,0.419379498,0.282248684,0.298371818,2.876648565,3.081452404,25.7625303,12.29124473,13.35354615,46.86510777,36.09429037,36.57133252,0.000306,1,2,0.4,0.9,115,116,117,17.13577373,39.84357689,./WebNet_Mar6/All_Data/s1s2_Ratio_40_90
40,0.003325658,0.416458733,0.283450977,0.30009029,2.894464945,3.082612872,24.56447597,12.79348506,13.53120181,43.81091529,33.36989345,37.67152752,0.000299157,1,2,0.4,1,118,119,120,16.96305428,38.28411209,./WebNet_Mar6/All_Data/s1s2_Ratio_40_100
41,0.002934194,0.384542957,0.295645966,0.319811076,2.76702509,3.100490196,26.77045752,15.39494766,16.20614051,31.11379778,34.06110665,40.40749722,0.000293657,1,2,0.5,0.1,121,122,123,19.4571819,35.19413388,./WebNet_Mar6/All_Data/s1s2_Ratio_50_10
42,0.003000866,0.393693385,0.297979905,0.308326709,2.770897833,3.095833333,26.03041904,16.02802359,13.65128355,41.60232913,39.20449745,37.29286782,0.000288126,1,2,0.5,0.2,124,125,126,18.56990873,39.3665648,./WebNet_Mar6/All_Data/s1s2_Ratio_50_20
43,0.00298981,0.393340048,0.292784772,0.31387518,2.795969773,3.100166945,25.67493533,15.43869598,13.64221065,45.57880547,39.73950165,39.96931629,0.000297637,1,2,0.5,0.3,127,128,129,18.25194732,41.76254114,./WebNet_Mar6/All_Data/s1s2_Ratio_50_30
44,0.003087235,0.404955803,0.287035886,0.308008312,2.821670429,3.094890511,26.60453383,15.35198184,12.69088259,46.76703284,34.53062184,40.15515133,0.000298792,1,2,0.5,0.4,130,131,132,18.21579942,40.48426867,./WebNet_Mar6/All_Data/s1s2_Ratio_50_40
45,0.003096216,0.411185771,0.284827126,0.303987103,2.837810945,3.08386277,25.71567587,17.1519941,12.94850204,44.08616462,35.68200251,36.65569025,0.000302997,1,2,0.5,0.5,133,134,135,18.60539067,38.80795246,./WebNet_Mar6/All_Data/s1s2_Ratio_50_50
