Material,Test File,O2,Particulate,Particulate Size (um),Substrate,Input Velocity (m/s),Output Velocity (m/s),Coefficient of Restitution,Test Temperature Actual (F),Nominal Gas Velocity (ft/s),Flash,Ignition 
SS med,95522.pps,0,SS,95,S,104.263418,17.65939499,0.169372876,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,128.5585958,21.71168326,0.168885504,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,113.5855927,18.6147071,0.163882643,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,106.1105368,15.90433862,0.149884631,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,109.8316769,22.64765039,0.206203265,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,104.2655283,15.90566023,0.152549558,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,130.5112897,18.70910367,0.143352378,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,94.95114409,15.00765666,0.158056617,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,75.2959373,12.13569521,0.161173307,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,100.58412,17.16471866,0.170650384,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,89.83192317,16.01285386,0.17825349,73.1,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,127.4775114,28.83438557,0.22619194,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,101.9757022,18.10029096,0.177496115,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,88.80870547,12.79883848,0.144116935,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,116.3069553,21.17171056,0.182033056,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,124.9354376,18.68930572,0.14959171,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,85.04341391,15.72592902,0.184916483,73.7,453,0,0
SS-Ni med,95523.pps,0,SS,95,Ni,55.20618503,11.11984431,0.201423886,73.7,453,0,0
